stage,epoch,kappa,energy_over_N,energy_std_dev_over_N,energy_std_error_over_N
only_cusp,0,8.188117291571011,-0.4137695526767837,0.006556173255950207,0.0002652535536433367
only_cusp,0,5.257140794255445,-0.41309044359763575,0.006406052892860747,0.00025309748393117
only_cusp,0,17.78964550645502,-0.4163786197230041,0.005964466935322671,0.000355476284823688
only_cusp,0,1.7714967117315439,-0.41115744150527167,0.006872396214115523,0.00044075800339650733
only_cusp,1,12.784898627194174,-0.4157011620767307,0.006572330929040911,0.0009317754833396965
only_cusp,1,3.1972379200904584,-0.41114718772652703,0.0070019958572822595,0.0005634397482656482
only_cusp,1,18.16194829855012,-0.41553764850069513,0.006272915854571985,0.0005006991275752967
only_cusp,1,11.64992114385454,-0.4142164099626313,0.00649665553630985,0.000508118610284922
only_cusp,2,7.628323758465274,-0.41443630481859806,0.00653933080756371,0.0005868222790207277
only_cusp,2,12.53957756127425,-0.41452786160206156,0.0062574776143537155,0.000470796887820083
only_cusp,2,12.089659901456127,-0.4146363124916912,0.00587772309455076,0.0005967910680226326
only_cusp,2,1.305842607066109,-0.4106659480802555,0.00712577298282856,0.0003134173918007895
only_cusp,3,18.884671897951193,-0.41613282909218613,0.006018837119122832,0.00044161360649641335
only_cusp,3,16.026879036581512,-0.4154939800605123,0.0063951472391840965,0.0003562625875270669
only_cusp,3,14.617545513548423,-0.41599638485398976,0.005955345342289926,0.0008605244927602819
only_cusp,3,18.360837031853357,-0.41619584026513806,0.00613708461107898,0.0004009667875821286
only_cusp,4,16.64476131293099,-0.4162770407944106,0.005966737101123438,0.00048435082578169274
only_cusp,4,6.439175336322371,-0.4126536187920116,0.006870377596353319,0.0007936440660324334
only_cusp,4,9.212487809357864,-0.4139002463349199,0.006566572429999989,0.00045018532868661663
only_cusp,4,5.146335540151167,-0.41233891618334956,0.006778548690937598,0.00022428251154379974
only_cusp,5,16.74431097024642,-0.41624655197217836,0.0056723517194481165,0.0003815846174746465
only_cusp,5,15.598645828915853,-0.41529738502339636,0.00607385758734856,0.0004005451739281124
only_cusp,5,18.875199217410117,-0.41627525849281033,0.006026791139911634,0.00020786543796331446
only_cusp,5,15.548035728124198,-0.41634145049911747,0.00616517451126274,0.000507124703178914
only_cusp,6,12.283027936174044,-0.4152754935513626,0.005793236787373978,0.00037927962384590695
only_cusp,6,2.795720613650696,-0.41200241678091765,0.006734900393932352,0.00045166218705162015
only_cusp,6,16.613405501026392,-0.41567205232290205,0.006071667037831171,0.0002797489247340257
only_cusp,6,11.406885151453585,-0.41475792667906725,0.006705106030891719,0.00033342295362686394
only_cusp,7,3.362795648976717,-0.4115748652540544,0.007234872211849105,0.00050890134154122
only_cusp,7,10.671607330001669,-0.4143206118695049,0.00681441894000213,0.0002300417557382857
only_cusp,7,15.736602839256538,-0.41648253427915505,0.006005166557703484,0.0010165304154921729
only_cusp,7,9.695745416616987,-0.4141706071309675,0.006328119297630606,0.00048389614621617794
only_cusp,8,1.972144642424823,-0.4116629127211067,0.006835124119895538,0.0005131315128127526
only_cusp,8,16.461097555770436,-0.4159279626058225,0.006217331654322924,0.0003503772406682882
only_cusp,8,1.9780012824108146,-0.41103674048413424,0.007583880973666837,0.0006131834340904342
