row_iter,kappa,energy_per_particle,mcmc_error_in_energy_per_particle,local_energy_deviation_per_particle
1,1.0210240947800409,-0.39918408864219934,0.0009827846390073607,0.017002668433958507
2,1.0239494669048521,-0.39872689875255063,0.0004248567161612071,0.01693729091665115
3,1.0278538722659243,-0.3983222202676189,0.0008873944579517522,0.015791340508478666
4,1.080622353192611,-0.39954256272133293,0.00027015600002850787,0.0154464041790408
5,1.1408713904674919,-0.39904871641999756,0.0004865614374390972,0.014046812163284865
6,1.1479309303733785,-0.39871650060263436,0.0004520474747899679,0.01320103242928221
7,1.1821029480512502,-0.3999468625190776,0.0003765508441236595,0.01239605384198805
8,1.290205523666227,-0.39975411490987495,0.0002350873949621262,0.010542437732938763
9,1.315714523318219,-0.3995487608583536,0.0003124163295198384,0.010464270768139376
10,1.3412704135338775,-0.40020921763803996,0.0005829432225451427,0.010066960553393635
11,1.342571857564023,-0.39961549732244966,0.00028327877468467636,0.009945552532349558
12,1.5129206842432117,-0.4003056027942922,0.0003280158427998043,0.008062510330978158
13,1.548150272693081,-0.4003378740589964,0.0002745229860127396,0.008053173486053215
14,1.6431284413967675,-0.40076469615509125,0.00020727985481332,0.007193863928592769
15,1.671793205625336,-0.40044598988324986,0.00022720869111734828,0.007276212603085901
16,1.8550218000422314,-0.40103490558437954,0.00017028162910761257,0.006172860472876264
17,1.8697719821215233,-0.4013672599886274,0.00034668594802790017,0.005714373399546429
18,2.051276597656016,-0.40161653146492277,0.0005622475108644007,0.0057608628269444125
19,2.052372515946827,-0.4015342808401291,0.0002648576160981524,0.005928228948623719
20,2.0703439821086405,-0.4012505137908979,0.00019807708894538972,0.005532029948697855
21,2.1626907440837035,-0.40136757626037156,0.00019329078826490725,0.005434140705600836
22,2.1663122801749912,-0.40166753171154856,0.00021958660448630562,0.005515631882986094
23,2.2632794960660068,-0.40181047651404683,0.00019710196428895452,0.005003204648644507
24,2.2707836667333225,-0.4020423645344848,0.0005607722693318878,0.005336116175206883
25,2.3432963875507107,-0.40171059210058563,0.00021184205779316455,0.005019694209691476
26,2.3880072846641407,-0.40191143354873776,0.00023305623508667732,0.00498664162185772
27,2.3921616906909264,-0.4020262129721736,0.00020287599703140602,0.004742028280018092
