row_iter,kappa,energy_per_particle,mcmc_error_in_energy_per_particle,local_energy_deviation_per_particle
1,1.017964263591051,-0.4351387365426487,0.000808521174449336,0.012342578222293182
2,1.0524095523154393,-0.4349764443265403,0.0004866658552621237,0.01204247567310516
3,1.09232843602124,-0.4349371981258722,0.0003775578224428024,0.010434746168951771
4,1.132726107968734,-0.4353319420832388,0.00028212393586465667,0.00972852794273151
5,1.2666787763714724,-0.4354222258819869,0.00014128308611713607,0.008033112443834582
6,1.2674947919619888,-0.43550280237781896,0.0007346580361264868,0.008145985988280193
7,1.3284264023119603,-0.4357616378732858,0.00015702432793669204,0.007429034400761769
8,1.3680554995676923,-0.435513068457172,0.0004334100968852552,0.0071787461875118625
9,1.4274197210025639,-0.4363966139396315,0.00019560826775317925,0.00675442455272739
10,1.4520881800406573,-0.43642899152976106,0.0002445427516780963,0.006688953246805894
11,1.4591666833283383,-0.43631365229749697,0.00017795825214382435,0.006382694044122653
12,1.4619196837371065,-0.4368017282203959,0.0003801174646436589,0.006595225124675179
13,1.4678612118507526,-0.4367450364041244,0.00015382064713846176,0.006704471136139257
14,1.486903544262954,-0.4363991628430802,0.00017458747870480073,0.006118782822445876
15,1.6453695940851973,-0.4371615420938953,0.00020531165309666948,0.0056503425729282864
16,1.6867790536958598,-0.4371201322261995,0.0001643769123152512,0.005399815692503055
17,1.7327020902919423,-0.43746872933003744,0.00037338613978825304,0.005592044771339456
18,1.7560951703118461,-0.43745574351105915,0.00022660888409414161,0.005038538928025833
19,1.7917930231805432,-0.43739908055133775,0.00013742270169557862,0.0050264694630887275
20,1.8168927845278637,-0.43743652528532617,0.00018154088180411256,0.004735916259188042
21,1.8214075359481683,-0.43720602698651545,0.0004251202416942192,0.004746467843730207
22,1.8587478526569032,-0.4376457414226524,0.00010606257268588828,0.0046620592130757425
23,1.9114112091179158,-0.4375667192141667,0.0001484781884669414,0.0045933223433547495
24,1.9841011258096963,-0.4379077457767712,0.00019398111679856715,0.004326504385136928
25,2.0606750314284863,-0.43810391306173946,0.0002810383841354061,0.004540339775363803
26,2.1959030702647135,-0.4386394962992862,0.00015638798788456283,0.0040004844944256535
27,2.203571350288324,-0.43858068554231383,0.00014440005332815413,0.003913927603846154
28,2.2187089493775254,-0.4386246482340545,0.00012582840187604872,0.004083775626295554
29,2.291044947491711,-0.4387728858621692,0.00012038666482519112,0.004054458215570939
