row_iter,kappa,r,g_r,g_r_err
1,1.0,0.057008771254956896,0.0,0.0
2,1.0,0.17102631376487068,0.005929487179487179,0.0049338123865689
3,1.0,0.28504385627478446,0.0027884615384615387,0.0009123589401412466
4,1.0,0.39906139878469826,0.007108516483516485,0.0019356858471517794
5,1.0,0.5130789412946121,0.00878739316239316,0.0009441371642127716
6,1.0,0.6270964838045259,0.018225524475524495,0.0016700704841040893
7,1.0,0.7411140263144397,0.022947485207100583,0.001111687152512807
8,1.0,0.8551315688243535,0.03309294871794872,0.0016138123650602722
9,1.0,0.9691491113342672,0.04571549773755659,0.002044643889630699
10,1.0,1.083166653844181,0.058400809716599104,0.0022138460960004474
11,1.0,1.1971841963540948,0.07011217948717957,0.0016029109004245304
12,1.0,1.3112017388640087,0.08942307692307695,0.0023527039406909724
13,1.0,1.4252192813739224,0.10746153846153836,0.002246755417590151
14,1.0,1.5392368238838363,0.13752670940170936,0.0026074927240817706
15,1.0,1.65325436639375,0.16416611405835566,0.003374643304147834
16,1.0,1.7672719089036637,0.19789081885856058,0.0025034043044908985
17,1.0,1.8812894514135776,0.2408289627039624,0.0037369559027954436
18,1.0,1.9953069939234913,0.2790521978021983,0.00393572509392992
19,1.0,2.1093245364334052,0.3269750519750518,0.0036873938866093347
20,1.0,2.223342078943319,0.38353673570019653,0.0035345976494373017
21,1.0,2.337359621453233,0.44108818011257195,0.0037320629145464676
22,1.0,2.4513771639631465,0.5007938282647577,0.004210337840806084
23,1.0,2.5653947064730604,0.5736111111111105,0.004858776483949876
24,1.0,2.679412248982974,0.6412438625204588,0.0042227877399857415
25,1.0,2.793429791492888,0.7154385792778647,0.005175417336689695
26,1.0,2.9074473340028018,0.7811887254901948,0.005013615941459561
27,1.0,3.0214648765127157,0.844498367198839,0.004497021822356196
28,1.0,3.1354824190226296,0.9109178321678311,0.005145139924023343
29,1.0,3.249499961532543,0.9734606950067507,0.0040176588827593234
30,1.0,3.3635175040424565,1.0407268578878743,0.005285728758695849
31,1.0,3.4775350465523704,1.0834449873896583,0.006334163889440837
32,1.0,3.5915525890622844,1.1346077533577534,0.005914641390854663
33,1.0,3.7055701315721983,1.173136094674555,0.006032014250570949
34,1.0,3.819587674082112,1.1984321182548774,0.004831391609639891
35,1.0,3.933605216592026,1.2304382664437008,0.00565474335694863
36,1.0,4.04762275910194,1.2409161700975135,0.005639581185019424
37,1.0,4.161640301611854,1.2566616174920968,0.004146342212646157
38,1.0,4.275657844121767,1.2597339743589733,0.005701112162331933
39,1.0,4.389675386631682,1.2573676323676306,0.006087469082850741
40,1.0,4.503692929141595,1.2296951071080788,0.006566558377372214
41,1.0,4.61771047165151,1.2002492877492883,0.005480889246688518
42,1.0,4.731728014161423,1.1688745366079778,0.004276331297987431
43,1.0,4.845745556671336,1.1321804298642526,0.003807857672344694
44,1.0,4.9597630991812505,1.0942418213969922,0.0034377555710015527
45,1.0,5.0737806416911635,1.0607524848746737,0.003478320922635421
46,1.0,5.187798184201078,1.0221946322907862,0.004881677370057929
47,1.0,5.301815726710991,0.9885649296939588,0.004789369372709414
48,1.0,5.415833269220905,0.9616295546558751,0.004413320514895324
49,1.0,5.529850811730819,0.9316365979381458,0.0040388532572159675
50,1.0,5.643868354240732,0.9266025641025623,0.0032663480440667694
51,1.0,5.757885896750647,0.9129974295506476,0.0034696477057453304
52,1.0,5.87190343926056,0.9167289021657924,0.0036232048866054476
53,1.0,5.985920981770475,0.907559523809523,0.0031878018500537757
54,1.0,6.099938524280388,0.9124730409777148,0.0032843323655290615
55,1.0,6.213956066790303,0.9203885850388128,0.0032657806674073354
56,1.0,6.327973609300216,0.9291601697851701,0.0030476224531229925
57,1.0,6.4419911518101305,0.9431288291354637,0.003267271497379763
58,1.0,6.5560086943200435,0.9635221571906442,0.0036117649245227565
59,1.0,6.6700262368299565,0.9841757067718615,0.004908125466453822
60,1.0,6.78404377933987,0.9989111990950207,0.004789467765525397
61,1.0,6.898061321849784,1.0185096153846152,0.002583291884230961
