row_iter,kappa,energy_per_particle,mcmc_error_in_energy_per_particle,local_energy_deviation_per_particle
1,1.028660708805313,-0.39084396201824145,0.0010700718907894645,0.027238876526535852
2,1.0360236928644917,-0.39161135642526823,0.0010904403586496079,0.027325332535542604
3,1.0635452125848692,-0.3903011544518648,0.0009772602719963672,0.024577947988227978
4,1.0706506517998036,-0.39073275176548145,0.0010860120167125854,0.023932197437561066
5,1.131474258388897,-0.3902608039298267,0.00116817995529861,0.02388175600187914
6,1.1406603931034478,-0.39329237874575734,0.0012333401129232115,0.023613779132669675
7,1.192608315393751,-0.3921050104607993,0.0011203457816455365,0.021754138509000737
8,1.217876788579348,-0.39165475442593845,0.001488364105267242,0.0203566094637793
9,1.2200349619384423,-0.3911151455148183,0.0009163707038553523,0.020183329603829115
10,1.279231665104087,-0.3914403980049051,0.0006406364084457104,0.01864246544215205
11,1.2868324936530589,-0.3919578384396872,0.0009099798235724519,0.01926283195501613
12,1.2882217147650425,-0.3917550719887417,0.0005853541698777129,0.018259362576136896
13,1.3438770544035097,-0.3935971712009344,0.0008565237792033954,0.017995424273124064
14,1.4176715568952158,-0.39374250043485387,0.002253725980187964,0.017622731683147472
15,1.4995338038856323,-0.3923533153043575,0.0011766055573361434,0.014950662807693877
16,1.500476909650843,-0.39371325330737555,0.0005016534421229437,0.015091995007683302
17,1.599769647309191,-0.39332028275024905,0.0007573070303263933,0.013734994414405689
18,1.6285254969071277,-0.3954676719295866,0.0007414564110352478,0.014577897126540831
19,1.6773884261539111,-0.3950214959684803,0.0005432837481449303,0.013335434633532468
20,1.6910322386303476,-0.3942095984754341,0.0006375140075578006,0.012772724003774782
21,1.721272159826039,-0.39526529901761154,0.0010726491300176299,0.013190807733717787
22,1.746492658025816,-0.394913460721329,0.0004285279969076099,0.012289784059814918
23,1.8677742668212953,-0.39581417727424734,0.0005498887196057995,0.011395863816002216
24,1.9290603637827823,-0.3956546205659434,0.0003307322231937195,0.01088306583424377
25,1.937951612658768,-0.3960383675407708,0.0005918593384754337,0.011257882115238387
26,1.9931757904346772,-0.39645280147284007,0.0002139938490016683,0.010452324104094836
27,2.130656300610878,-0.39584829266607985,0.0005868731806214526,0.009540944880707095
28,2.156884717403078,-0.3968212738466371,0.00031760531892186206,0.010401121429690543
29,2.224784454143121,-0.3968788972854319,0.0003021331392265662,0.009410697995763901
30,2.3001300285732222,-0.3966378953572549,0.00027327429514978585,0.008610568260606884
31,2.3852569286132113,-0.3976219013040288,0.0003586174119360515,0.00861434860574347
32,2.539679337462612,-0.3980094975674213,0.00024090284811617137,0.008171880925406855
33,2.5475186655837865,-0.398129995932306,0.00022726498911487009,0.008094112271120193
34,2.6300031670092103,-0.39803484518323196,0.0003200929413593957,0.007823056372671085
35,2.641139687871793,-0.39807181397526936,0.0002720754953567357,0.00799128730147821
36,2.6524657437529657,-0.3989870344171897,0.0005617597671291871,0.0077825512886925486
37,2.6952245601158387,-0.3988974970318185,0.0004200567726111644,0.007785905992335844
38,2.827375749965352,-0.3990056778464396,0.00017016410211815347,0.0074434530654537276
39,2.8372870042467566,-0.3989305806715646,0.00021052128282509443,0.007311792492741442
40,2.8632684176499934,-0.398893301618869,0.0002514444376182974,0.00691863509569716
41,2.9290886270629612,-0.3989986933103692,0.0002542359057569781,0.0068116863656038475
42,2.9447006826199367,-0.3988080225031829,0.00030583274196187624,0.0067410596177629595
43,2.9623255862165396,-0.3989870627528649,0.0002349766249663845,0.006406138934963671
44,2.967442153902965,-0.39853020060095545,0.00025483893841077656,0.006787849051020967
45,3.066341946182579,-0.39877603648345994,0.0002854463891190912,0.00681722942126553
46,3.103088046113088,-0.39932610089446235,0.0002082714894425674,0.006269171102142072
47,3.130886344165157,-0.3992413593820622,0.00023006478880748972,0.006504712268508595
48,3.177537273436303,-0.39954684508143523,0.0001484562063957992,0.0061174827222943
49,3.1991973309816935,-0.3994557523646345,0.0002739444517488724,0.00627786877999129
50,3.2535643645500265,-0.3995930874503369,0.00016533372482969598,0.005734750258957271
51,3.2847029595761743,-0.39917074289643406,0.00038094342531186484,0.006142887247001845
52,3.427668324975557,-0.4005781130424814,0.0003653249133703198,0.005571288414298572
53,3.4287943597621924,-0.400067092963322,0.0002677055492801308,0.005706197524355767
54,3.4468547541262295,-0.4002028419991284,0.00017402667789209814,0.005495575286392197
55,3.5245256830065976,-0.3997375196689419,0.0002977581511631453,0.0059650941530834745
56,3.552079042855902,-0.40003399165272796,0.00011243760020535254,0.005722011722921301
57,3.638180277603597,-0.40018328637524503,0.0002779987246639631,0.005594627668240971
58,3.663368802467928,-0.400213584947972,0.00015510753753629678,0.005435872495943767
59,3.6799556276943894,-0.40034770139575143,0.00012027281575969705,0.005470532137978413
60,3.6952787147507897,-0.40052134243778587,0.0001916499368114848,0.005146036069850177
61,3.7557542052098185,-0.4005470975664564,0.00016354183811532493,0.005353836037936245
62,3.820069084974082,-0.40044147155588056,0.0001994565305708097,0.005400731825726577
63,3.8764515070895422,-0.4004359337958469,0.00023330159471627684,0.005492451236335056
64,4.003451758885326,-0.40088799852254786,0.00012239281084638952,0.005131857594296561
