kappa,energy_over_N,energy_std_error_over_N,energy_std_dev_over_N
1.0049731400989754,-0.40334258242982574,0.0017827795265680927,0.0393255699070298
1.0101917268402931,-0.4017489074720565,0.0012075823207348207,0.035611000953615704
1.0194999871596966,-0.4039919442025847,0.001312012178586561,0.03551471334495324
1.0406021525830724,-0.4063571199297463,0.0013015144234223852,0.0347731595715914
1.066454106253719,-0.4064946334752921,0.0011351872675740957,0.034606447067102745
1.23688893825779,-0.4133628010437938,0.0024167097125994312,0.028878128279584296
1.3115463361669062,-0.4170730087392502,0.001306279932043536,0.027450267761266713
1.4025667966204014,-0.4171459534945119,0.0010111539402467612,0.025350440991344775
1.4394287025549888,-0.41776042151751774,0.0009859509939102694,0.024361436963943134
1.4998261109911388,-0.420621243673831,0.0010125975719988958,0.02272720164639378
1.5284290818436392,-0.42034179238262076,0.0006589831251566291,0.022428607132741696
1.5358889914258893,-0.4209504799621602,0.001863475557710704,0.023631726181579958
1.6563217736421139,-0.4229878300037419,0.0010874412132855108,0.025618860462396507
1.9083974307971163,-0.4270082456161923,0.0006999823825590306,0.015968096720641665
1.9173147226811778,-0.42626863425007167,0.0008517668769534546,0.01621915989206799
1.936535853364752,-0.427053582242032,0.0007540161195425185,0.017111233341506306
1.9447443293803859,-0.42694429663583955,0.0007945757703773082,0.017621268004320532
1.963423597363271,-0.42746469554236316,0.0008757744655151865,0.017264699960559127
2.004291676917135,-0.4275566835920465,0.0006137350502376138,0.015402382538506107
2.1096945687826585,-0.4290927427157727,0.0007879529352169359,0.01560361394692311
2.122239991849904,-0.4296500792299057,0.0006917052926170853,0.01366038448125733
2.129516437367782,-0.42847777690213895,0.0005159740243600296,0.0146876404365305
2.16666800385538,-0.43001100847925805,0.0006934344884608406,0.013915545141930748
2.2020785863099475,-0.4312150175823892,0.0013993791790824245,0.015999742557184185
2.2194457061804327,-0.4296701290561838,0.0004441435947282818,0.015364020764930708
2.282938792297883,-0.4300094345225855,0.0004877707794298534,0.01240274204745869
2.3302629904402314,-0.4309485614078813,0.0007140588504864443,0.013696617320436177
2.3909081566493615,-0.43182610743540456,0.0008394758983022014,0.014399086406872602
2.419378900191419,-0.43207954747648275,0.0004012997084019217,0.012565889755970224
2.488116818647446,-0.43290048943253323,0.00047503899246318385,0.012922036988832415
2.5560349113824805,-0.4325552818204625,0.00032780720912314843,0.01227534679156884
2.5589323106251003,-0.4331240308086464,0.0006650300156138497,0.012883481151774814
2.7364883656767285,-0.43465694061476073,0.0004649957499044001,0.01170537679793536
2.7955392334650804,-0.4350390872583806,0.0003391483712599692,0.011644416495269214
2.8570765958283224,-0.4351203111290829,0.0004784046111086792,0.010851371165211095
2.885055908354697,-0.43502275613477887,0.0003611112434306747,0.0110587869543865
2.9356756194529767,-0.4357112827752543,0.00024073948799214587,0.010584157430377258
2.9376795452063744,-0.43470727407751636,0.001240822252908263,0.011158857687991902
3.0126306627322377,-0.4358184879145578,0.0003948912495650951,0.010034589261434154
3.1055323486279294,-0.4361042440826167,0.0007793538386026577,0.012421614904691325
3.121862281017501,-0.4362999673081182,0.0003971254225672937,0.010261916237823807
3.301643577990645,-0.43753469040098886,0.00034586000817918896,0.009345783809588703
3.317159532457892,-0.4380625074578075,0.0006981153016413993,0.009843682715471827
3.444334980568641,-0.4379043800187382,0.0002519594667420397,0.00890005659491951
3.4528737928479165,-0.4380221950466415,0.0003523411901251628,0.00934046888523223
